Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 130822
Event count: 98380655774

Overhead  Shared Object
83.07%    /data/app/~~--u0u3bOmESMnh4M08Ly1Q==/com.ps2x.runner-WSCgaD2JPMF3qPfspf2iVA==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
8.31%     [kernel.kallsyms]
6.29%     /apex/com.android.runtime/lib64/bionic/libc.so
0.95%     [vdso]
0.40%     /vendor/lib64/egl/libGLESv2_adreno.so
0.37%     /data/app/~~--u0u3bOmESMnh4M08Ly1Q==/com.ps2x.runner-WSCgaD2JPMF3qPfspf2iVA==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.20%     /apex/com.android.runtime/bin/linker64
0.12%     /system/lib64/libgui.so
0.07%     /system/lib64/libaaudio_internal.so
0.05%     /system/lib64/libbinder.so
0.05%     /system/lib64/libutils.so
0.02%     /vendor/lib64/libgrallocutils.so
0.02%     /vendor/lib64/libgsl.so
0.02%     /vendor/lib64/vendor.qti.hardware.display.snapalloc-impl.so
0.01%     /system/lib64/libui.so
0.01%     /system/lib64/libc++.so
0.01%     /vendor/lib64/hw/mapper.qti.so
0.01%     /system/lib64/libcutils.so
0.01%     /system/lib64/libandroid_runtime.so
0.00%     /system/lib64/libEGL.so
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.00%     /apex/com.android.runtime/lib64/bionic/libdl.so
0.00%     /vendor/lib64/libc++.so
0.00%     /vendor/lib64/egl/libEGL_adreno.so
0.00%     /system_ext/lib64/libpenguin.so
0.00%     /system_ext/lib64/libpenguin_impl.so
0.00%     /vendor/lib64/libcutils.so
0.00%     /system/lib64/libGLESv2.so
0.00%     /system/lib64/libnativewindow.so
0.00%     /system/lib64/libandroid.so
0.00%     /apex/com.android.runtime/lib64/bionic/libm.so
0.00%     /system/lib64/libsync.so
