Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 600515
Event count: 451006521975

Overhead  Command          Symbol
3.31%     GsWorker         scudo::HybridMutex::tryLock()
1.58%     GsWorker         scudo::HybridMutex::unlock()
1.17%     GsWorker         scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
1.14%     GsWorker         __memset_aarch64_nt
1.10%     GsWorker         libvulkan_freedreno.so[+b40d34]
1.07%     GsWorker         scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
1.05%     GameThread       libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)
0.97%     GsWorker         scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.87%     GsWorker         __memcpy_aarch64_nt
0.65%     GsWorker         libvulkan_freedreno.so[+b40d68]
0.61%     GsWorker         malloc
0.49%     GameThread       [kernel.kallsyms][+ffffffe761a8e810]
0.47%     GsWorker         libvulkan_freedreno.so[+b489b8]
0.47%     GsWorker         [kernel.kallsyms][+ffffffe761a8e810]
0.45%     GsWorker         libvulkan_freedreno.so[+b40d74]
0.44%     GsWorker         [kernel.kallsyms][+ffffffe760a277ec]
0.44%     GsWorker         __aarch64_cas4_acq
0.41%     GsWorker         libvulkan_freedreno.so[+b40d3c]
0.40%     com.ps2x.runner  clock_gettime
0.40%     GsWorker         libvulkan_freedreno.so[+b40f60]
0.39%     GameThread       [linker]do_dl_iterate_phdr(int (*)(dl_phdr_info*, unsigned long, void*), void*)
0.33%     GameThread       VU1Interpreter::commitReadyPipelines()
0.33%     GsWorker         [kernel.kallsyms][+ffffffe760d65040]
0.32%     GsWorker         libvulkan_freedreno.so[+c1d314]
0.31%     com.ps2x.runner  __kernel_clock_gettime
0.30%     GsWorker         libvulkan_freedreno.so[+b489ac]
0.29%     GsWorker         libvulkan_freedreno.so[+b6b8ac]
0.28%     GsWorker         __aarch64_ldadd4_rel
0.27%     GsWorker         libvulkan_freedreno.so[+c1d0dc]
0.26%     GsWorker         libvulkan_freedreno.so[+b40f9c]
0.26%     GameThread       VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
0.24%     GsWorker         libvulkan_freedreno.so[+b6b8d0]
0.24%     GameThread       PS2Memory::processVIF1DataImpl(unsigned char const*, unsigned int)
0.23%     GsWorker         libvulkan_freedreno.so[+c1d11c]
0.23%     GameThread       VU1Interpreter::execUpper(unsigned int)
0.23%     GsWorker         @plt
0.22%     GsWorker         [kernel.kallsyms][+ffffffe760ad37c0]
0.22%     GsWorker         libvulkan_freedreno.so[+b48538]
0.21%     GsWorker         libvulkan_freedreno.so[+c1cf58]
0.20%     GsWorker         scudo_malloc
0.20%     GsWorker         libvulkan_freedreno.so[+c1d100]
0.18%     GsWorker         libvulkan_freedreno.so[+b419a8]
0.17%     GameThread       __memcpy_aarch64_nt
0.17%     GsWorker         [kernel.kallsyms][+ffffffe760d8565c]
0.17%     GsWorker         libvulkan_freedreno.so[+c656ac]
0.17%     GsWorker         libvulkan_freedreno.so[+b482dc]
0.16%     GsWorker         libvulkan_freedreno.so[+b6d648]
0.16%     GsWorker         libvulkan_freedreno.so[+c658b8]
0.16%     GsWorker         void scudo::releaseFreeMemoryToOS<scudo::RegionReleaseRecorder<scudo::MemMapLinux>, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long)>(scudo::PageReleaseContext&, scudo::RegionReleaseRecorder<scudo::MemMapLinux>&, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long))
0.16%     GsWorker         libvulkan_freedreno.so[+b48510]
0.15%     GsWorker         libvulkan_freedreno.so[+c1c670]
0.15%     GameThread       sub_00376938_0x376938(unsigned char*, R5900Context*, PS2Runtime*)
0.15%     GameThread       VU1Interpreter::progressXgkick()
0.15%     GsWorker         libvulkan_freedreno.so[+b6b86c]
0.15%     GsWorker         free
