shape	tail_n	J_vs_s0	n38	ov38	pres38	n54	ov54	pres54	n145	ov145	pres145	n259	ov259	pres259	n279	ov279	pres279	n292	ov292	pres292	n293	ov293	pres293	n295	ov295	pres295	n298	ov298	pres298	n299	ov299	pres299	n303	ov303	pres303	n307	ov307	pres307	n310	ov310	pres310	n311	ov311	pres311	n312	ov312	pres312	n313	ov313	pres313	n314	ov314	pres314	n315	ov315	pres315	n316	ov316	pres316	n318	ov318	pres318	n322	ov322	pres322	n323	ov323	pres323	n327	ov327	pres327	n328	ov328	pres328	n332	ov332	pres332	n336	ov336	pres336	n337	ov337	pres337	n339	ov339	pres339	n351	ov351	pres351	n372	ov372	pres372	n602	ov602	pres602	n611	ov611	pres611	n620	ov620	pres620
13	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
14	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
15	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
16	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
17	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
18	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
19	100	0.9804	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
20	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
21	106	0.9623	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	2	0	0	4	4	1	0	0	1	0	0	1	3	1	0	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
22	106	0.9623	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	4	4	1	0	0	1	0	0	1	2	1	0	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
23	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
24	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
25	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
26	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
27	100	0.9804	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
28	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
29	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
30	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
31	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
32	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
33	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
34	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
35	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
36	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
37	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
38	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
39	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
40	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
41	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
42	102	1.0000	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	4	4	1	0	0	1	0	0	1	1	1	1	0	0	1	4	4	1	3	3	1	4	4	1	7	7	1	7	7	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
